Subject,Predicate,Object
Maureen Yancey Oral History Interview,foaf:primaryTopic,James Dewitt Yancey 
Maureen Yancey Oral History Interview,frbroo:R13_realises,The recording of the interview 
Maureen Yancey Oral History Interview,crm:P7_took_place_at,Washington D.C.
Maureen Yancey Oral History Interview,dcterms:date,2016
Maureen Yancey Oral History Interview,crm:P2_has_type,"video recordings, oral histories, digital media - born digital"
Maureen Yancey Oral History Interview,dcterms:creator,National Museum of African American History and Culture
Maureen Yancey Oral History Interview,crm:P50_has_current_keeper,National Museum of African American History and Culture
Maureen Yancey Oral History Interview,crm:P102_has_title,Maureen Yancey Oral History Interview
Maureen Yancey Oral History Interview,crm:P129_is_about,"hip hop (music), museums"
Maureen Yancey Oral History Interview,crm:P70_documents,Maureen Yancey
Maureen Yancey Oral History Interview,crm:P67_refers_to,J Dilla
Maureen Yancey Oral History Interview,dc:isPartOf,The Collection Donor Oral History Project
Maureen Yancey Oral History Interview,dc:SizeOrDuration,"60.4 minutes, 59.8 minutes"
Maureen Yancey Oral History Interview,dc:identifier,2016.129.14.1a-.2a
Maureen Yancey Oral History Interview,owl:sameAs,http://n2t.net/ark:/65665/fd5e6894f8e-d477-4660-82b3-a7f9cd68b845
