Subject,Predicate,Object
"J Dilla, Detroit, 2003",Iptc4xmpExt:PersonInImage,James Dewitt Yancey
"J Dilla, Detroit, 2003",Iptc4xmpExt:LocationCreated,Detroit
"J Dilla, Detroit, 2003",dc:creator,Brian Cross
"J Dilla, Detroit, 2003",crm:P2_has_type,negative film
"J Dilla, Detroit, 2003",crm:P49_has_former_keeper,Annenberg Space For Photography
"J Dilla, Detroit, 2003",dc:isPartOf,Contact High: A Visual History of Hip-Hop
"J Dilla, Detroit, 2003",photoshop:DateCreated,2003
"J Dilla, Detroit, 2003",foaf:primaryTopic,J Dilla
"J Dilla, Detroit, 2003",dc:title,"J Dilla, Detroit, 2003"
"J Dilla, Detroit, 2003",photoshop:AuthorsPosition,photographer
"J Dilla, Detroit, 2003",photoshop:Credit,"Brian ""B+"" Cross"
"J Dilla, Detroit, 2003",photoshop:Source,"Brian Cross, Stones Throw"
"J Dilla, Detroit, 2003",Iptc4xmpExt:LocationShown,Home studio
"J Dilla, Detroit, 2003",Iptc4xmpCore:IntellectualGenre,Portrait
"J Dilla, Detroit, 2003",Iptc4xmpExt:Event,Photoshoot for Stones Throw album
